Loop Permutation Results,,,,,,,,,,,,
Order,MegaFlops from run 1 Original,MegaFlops from run 1 Improved,MegaFlops from run 2 Original,MegaFlops from run 2 Improved,MegaFlops from run 3 Original,MegaFlops from run 3 Improved,Average MegaFlops Original,Average MegaFlops New,Ranking,Improvement (%),,
lkij,i+=4,No blocking,93.9,550.7,93.9,550,94,554.9,93.93333333,551.8666667,18,48750.887%
lkij,i+=8,No blocking,93.9,544.4,93.9,544.2,93.9,543.7,93.9,544.1,19,47944.622%
lkij,i+=2; j+=2,No blocking,93.9,591.1,93.9,590.3,93.9,596.1,93.9,592.5,8,53099.042%
lkij,i+=2; j+=4,No blocking,93.9,594.6,93.8,592.9,93.9,582.3,93.86666667,589.9333333,9,52848.011%
lkij,not used,T=1,94,231.9,94,231.5,94,231.7,94,231.7,32,14648.936%
lkij,not used,T=2,93.9,375.6,93.9,377.7,93.9,376.4,93.9,376.5666667,31,30102.946%
lkij,not used,T=4,94,425.4,93.9,432.5,93.8,431.1,93.9,429.6666667,30,35757.898%
lkij,not used,T=8,93.9,459.5,94,459.5,94,461.4,93.96666667,460.1333333,28,38967.719%
lkij,not used,T=16,93.9,480.9,93.9,485.2,93.8,481,93.86666667,482.3666667,26,41388.494%
lkij,not used,T=32,93.8,485.9,93.9,476.7,93.9,484.7,93.86666667,482.4333333,25,41395.597%
lkij,not used,T=64,93.9,479.1,93.9,477.5,93.9,480.9,93.9,479.1666667,27,41029.464%
lkij,j+=2,T=2,93.9,437.2,94,434.6,93.9,436.7,93.93333333,436.1666667,29,36433.641%
lkij,j+=2,T=4,94,518.2,93.9,517.5,93.9,517.5,93.93333333,517.7333333,24,45117.104%
lkij,j+=4,T=4,93.9,539.1,93.9,539.3,93.9,533.8,93.9,537.4,22,47231.097%
lkij,j+=2,T=8,94,543.2,93.9,538,93.9,534.7,93.93333333,538.6333333,21,47342.087%
lkij,j+=4,T=8,93.9,565.3,93.9,564.5,93.9,568,93.9,565.9333333,14,50269.791%
lkij,j+=8,T=8,93.9,578.1,94,586.3,93.9,586.3,93.93333333,583.5666667,11,52125.621%
lkij,j+=2,T=16,93.9,555.3,93.9,553.5,93.9,555.8,93.9,554.8666667,17,49091.232%
lkij,j+=4,T=16,94,572.3,93.9,584.1,93.9,584.2,93.93333333,580.2,12,51767.211%
lkij,j+=8,T=16,93.9,589.8,94,590.2,93.9,598.3,93.93333333,592.7666667,7,53105.039%
lkij,j+=16,T=16,93.9,608.4,93.9,607,94,604.1,93.93333333,606.5,2,54567.069%
lkij,j+=2,T=32,93.8,556,93.9,560.4,93.9,557.9,93.86666667,558.1,15,49456.676%
lkij,j+=4,T=32,94,580.8,93.9,579.2,94,594.3,93.96666667,584.7666667,10,52231.288%
lkij,j+=8,T=32,93.9,596.4,93.8,596.5,93.9,595,93.86666667,595.9666667,5,53490.767%
lkij,j+=16,T=32,93.9,605.9,94,601.2,93.9,600.8,93.93333333,602.6333333,4,54155.429%
lkij,j+=32,T=32,94,546,94,544.4,94,541,94,543.8,20,47851.064%
